name,t_ms,num_dependent_lines,num_lines,num_deps
gen\extensions\common\mojom\app_window.mojom-shared.cc,1393,139937,74,295
gen\extensions\common\mojom\guest_view.mojom-shared.cc,2021,168363,536,412
gen\extensions\common\mojom\keep_alive.mojom-shared.cc,1494,139869,24,295
gen\extensions\common\api\mime_handler.mojom-shared.cc,1416,140367,313,295
gen\extensions\common\api\mime_handler.mojom-test-utils.cc,1533,144899,85,323
gen\extensions\common\api\mime_handler.mojom.cc,2156,151071,631,340
gen\services\device\public\mojom\usb_device.mojom-test-utils.cc,2079,154174,323,348
gen\services\device\public\mojom\usb_device.mojom.cc,3666,162075,3951,368
gen\services\device\public\mojom\usb_enumeration_options.mojom-test-utils.cc,1567,147113,39,334
gen\services\device\public\mojom\usb_enumeration_options.mojom.cc,2019,153108,158,353
gen\services\device\public\mojom\usb_manager.mojom-test-utils.cc,1780,156911,93,366
gen\services\device\public\mojom\usb_manager.mojom.cc,2689,163376,749,390
gen\services\device\public\mojom\usb_manager_client.mojom-test-utils.cc,1695,154450,54,352
gen\services\device\public\mojom\usb_manager_client.mojom.cc,2135,160592,259,373
gen\services\device\public\mojom\usb_device.mojom-shared.cc,1700,145159,2220,301
gen\services\device\public\mojom\usb_enumeration_options.mojom-shared.cc,1474,141136,136,299
gen\services\device\public\mojom\usb_manager.mojom-shared.cc,1563,144600,382,309
gen\services\device\public\mojom\usb_manager_client.mojom-shared.cc,1487,143465,136,303
gen\services\network\public\mojom\content_security_policy.mojom-test-utils.cc,1416,143352,40,293
gen\services\network\public\mojom\content_security_policy.mojom.cc,2181,149370,317,313
gen\services\network\public\mojom\cookie_manager.mojom-test-utils.cc,2603,173088,246,423
gen\services\network\public\mojom\cookie_manager.mojom.cc,4078,179410,3296,434
gen\services\network\public\mojom\cors.mojom-test-utils.cc,1355,136893,37,273
gen\services\network\public\mojom\cors.mojom.cc,1487,142905,51,292
gen\services\network\public\mojom\cors_origin_pattern.mojom-test-utils.cc,1398,142087,39,296
gen\services\network\public\mojom\cors_origin_pattern.mojom.cc,1831,148105,152,316
gen\services\network\public\mojom\cross_origin_embedder_policy.mojom-test-utils.cc,1580,148189,53,338
gen\services\network\public\mojom\cross_origin_embedder_policy.mojom.cc,1923,154298,306,356
gen\services\network\public\mojom\cross_origin_opener_policy.mojom-test-utils.cc,1265,136756,37,273
gen\services\network\public\mojom\cross_origin_opener_policy.mojom.cc,1421,142768,51,292
gen\services\network\public\mojom\default_credentials.mojom-test-utils.cc,1613,152824,37,336
gen\services\network\public\mojom\default_credentials.mojom.cc,1813,158836,51,355
gen\services\network\public\mojom\dhcp_wpad_url_client.mojom-test-utils.cc,1643,145907,38,334
gen\services\network\public\mojom\dhcp_wpad_url_client.mojom.cc,1694,151902,51,353
gen\services\network\public\mojom\digitally_signed.mojom-test-utils.cc,1456,137737,38,279
gen\services\network\public\mojom\digitally_signed.mojom.cc,1657,143731,90,297
gen\services\network\public\mojom\fetch_api.mojom-test-utils.cc,1400,137213,37,273
gen\services\network\public\mojom\fetch_api.mojom.cc,1501,143225,51,292
gen\services\network\public\mojom\host_resolver.mojom-test-utils.cc,3145,222359,154,718
gen\services\network\public\mojom\host_resolver.mojom.cc,4137,228817,1813,760
gen\services\network\public\mojom\http_raw_headers.mojom-test-utils.cc,1403,137109,37,275
gen\services\network\public\mojom\http_raw_headers.mojom.cc,1614,143103,89,293
gen\services\network\public\mojom\http_raw_request_response_info.mojom-test-utils.cc,1382,137825,38,279
gen\services\network\public\mojom\http_raw_request_response_info.mojom.cc,1760,143831,104,298
gen\services\network\public\mojom\http_request_headers.mojom-test-utils.cc,1368,137761,37,278
gen\services\network\public\mojom\http_request_headers.mojom.cc,1728,143755,117,296
gen\services\network\public\mojom\ip_address_space.mojom-test-utils.cc,1318,136759,37,273
gen\services\network\public\mojom\ip_address_space.mojom.cc,1563,142771,51,292
gen\services\network\public\mojom\load_timing_info.mojom-test-utils.cc,1364,139633,39,283
gen\services\network\public\mojom\load_timing_info.mojom.cc,1731,145639,203,302
gen\services\network\public\mojom\mdns_responder.mojom-test-utils.cc,1810,145163,91,330
gen\services\network\public\mojom\mdns_responder.mojom.cc,1926,151403,572,348
gen\services\network\public\mojom\net_log.mojom-test-utils.cc,1781,153605,108,348
gen\services\network\public\mojom\net_log.mojom.cc,2372,160032,870,368
gen\services\network\public\mojom\network_change_manager.mojom-test-utils.cc,1572,144596,62,321
gen\services\network\public\mojom\network_change_manager.mojom.cc,1798,150752,367,339
gen\services\network\public\mojom\network_context.mojom-test-utils.cc,5413,271184,1062,897
gen\services\network\public\mojom\network_context.mojom.cc,11939,287077,16078,968
gen\services\network\public\mojom\network_interface.mojom-test-utils.cc,1622,147986,40,343
