name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\base\trace_event\memory_dump_scheduler.cc,955,40250,118,96
..\..\base\trace_event\memory_infra_background_whitelist.cc,495,14213,453,29
..\..\base\trace_event\memory_usage_estimator.cc,514,19775,14,41
..\..\base\trace_event\process_memory_dump.cc,1710,48363,512,131
..\..\base\trace_event\thread_instruction_count.cc,539,16409,117,40
..\..\base\trace_event\trace_arguments.cc,557,18060,287,41
..\..\base\trace_event\trace_buffer.cc,1204,51278,347,131
..\..\base\trace_event\trace_config.cc,2023,52748,719,145
..\..\base\trace_event\trace_config_category_filter.cc,1277,50171,236,132
..\..\base\trace_event\trace_event_etw_export_win.cc,1573,51866,379,136
..\..\base\trace_event\trace_event_filter.cc,441,124,17,3
..\..\base\trace_event\trace_event_impl.cc,1143,50875,352,137
..\..\base\trace_event\trace_event_memory_overhead.cc,1012,49736,179,131
..\..\base\trace_event\trace_log.cc,3168,60043,1855,188
..\..\base\trace_event\trace_log_constants.cc,1078,48188,26,122
..\..\base\trace_event\traced_value.cc,1339,50359,610,132
..\..\base\trace_event\tracing_agent.cc,780,37504,24,83
..\..\base\unguessable_token.cc,524,15003,39,36
..\..\base\value_conversions.cc,888,22722,114,54
..\..\base\value_iterators.cc,514,4055,228,19
..\..\base\values.cc,1510,23416,1854,55
..\..\base\version.cc,609,15845,194,35
..\..\base\vlog.cc,637,15045,180,32
..\..\base\win\com_init_check_hook.cc,1000,8315,343,39
..\..\base\win\com_init_util.cc,831,2611,81,17
..\..\base\win\core_winrt_util.cc,829,3153,84,20
..\..\base\win\embedded_i18n\language_selector.cc,692,15622,340,35
..\..\base\win\enum_variant.cc,981,14750,81,32
..\..\base\win\event_trace_controller.cc,704,2722,174,17
..\..\base\win\event_trace_provider.cc,661,319,134,4
..\..\base\win\hstring_compare.cc,769,14427,40,33
..\..\base\win\hstring_reference.cc,787,3943,62,20
..\..\base\win\i18n.cc,869,14376,70,30
..\..\base\win\iat_patch_function.cc,742,2980,249,19
..\..\base\win\message_window.cc,981,35056,166,80
..\..\base\win\object_watcher.cc,1078,38938,130,91
..\..\base\win\patch_util.cc,671,2595,52,17
..\..\base\win\process_startup_helper.cc,452,3549,59,21
..\..\base\win\registry.cc,1370,40166,661,100
..\..\base\win\resource_util.cc,664,2609,51,17
..\..\base\win\scoped_bstr.cc,965,16558,96,36
..\..\base\win\scoped_com_initializer.cc,959,8498,39,40
..\..\base\win\scoped_handle.cc,582,28261,40,58
..\..\base\win\scoped_handle_verifier.cc,975,29310,231,61
..\..\base\win\scoped_hstring.cc,855,16139,138,35
..\..\base\win\scoped_process_information.cc,829,26889,110,50
..\..\base\win\scoped_variant.cc,871,2846,285,18
..\..\base\win\scoped_winrt_initializer.cc,956,9916,38,48
..\..\base\win\shortcut.cc,1490,35478,378,78
..\..\base\win\startup_information.cc,678,2624,61,17
..\..\base\win\vector.cc,1072,17324,24,36
..\..\base\win\win_util.cc,8738,44153,834,122
..\..\base\win\windows_version.cc,1102,40149,298,100
..\..\base\win\winrt_storage_util.cc,7738,14797,72,33
..\..\base\win\wmi.cc,1253,36317,213,82
..\..\base\win\wrapped_window_proc.cc,793,26818,78,46
..\..\base\base_paths.cc,687,33886,51,71
..\..\base\base_paths_win.cc,1197,15570,203,42
..\..\base\metrics\persistent_histogram_storage.cc,1135,46100,151,118
..\..\base\hash\md5_boringssl.cc,504,16462,37,39
..\..\base\hash\sha1_boringssl.cc,510,17061,35,41
..\..\base\allocator\partition_allocator\address_space_randomization.cc,729,3089,68,21
..\..\base\allocator\partition_allocator\memory_reclaimer.cc,1287,55487,127,153
..\..\base\allocator\partition_allocator\oom_callback.cc,433,2594,27,17
..\..\base\allocator\partition_allocator\page_allocator.cc,811,18118,254,46
..\..\base\allocator\partition_allocator\partition_alloc.cc,980,41609,844,109
..\..\base\allocator\partition_allocator\partition_bucket.cc,746,4152,569,31
..\..\base\allocator\partition_allocator\partition_oom.cc,686,2660,24,19
..\..\base\allocator\partition_allocator\partition_page.cc,512,4062,164,28
..\..\base\allocator\partition_allocator\partition_root_base.cc,745,4152,40,31
..\..\base\allocator\partition_allocator\random.cc,442,2823,66,20
..\..\base\allocator\partition_allocator\spin_lock.cc,850,7520,104,32
..\..\base\files\file_enumerator_win.cc,1133,22652,196,59
..\..\base\memory\platform_shared_memory_region_win.cc,1088,38306,354,93
..\..\base\memory\shared_memory_handle_win.cc,776,16058,55,36
..\..\base\memory\shared_memory_win.cc,1094,40366,335,106
..\..\base\power_monitor\power_monitor_device_source_win.cc,1076,45996,115,130
..\..\base\profiler\win32_stack_frame_unwinder.cc,791,14064,144,28
..\..\base\rand_util_win.cc,727,2648,38,17
..\..\base\system\sys_info_win.cc,1269,36997,183,78
..\..\base\time\time_win.cc,1345,35075,777,74
..\..\base\base_switches.cc,75,261,149,2
..\..\base\win\static_constants.cc,84,21,13,1
..\..\base\win\pe_image.cc,772,50097,651,59
..\..\third_party\boringssl\err_data.c,110,2097,1407,9
..\..\third_party\boringssl\src\crypto\asn1\a_bitstr.c,354,7504,271,22
..\..\third_party\boringssl\src\crypto\asn1\a_bool.c,133,6486,123,21
..\..\third_party\boringssl\src\crypto\asn1\a_d2i_fp.c,145,6486,93,21
..\..\third_party\boringssl\src\crypto\asn1\a_dup.c,132,6486,87,21
..\..\third_party\boringssl\src\crypto\asn1\a_enum.c,355,7504,195,22
..\..\third_party\boringssl\src\crypto\asn1\a_gentm.c,150,6590,261,22
..\..\third_party\boringssl\src\crypto\asn1\a_i2d_fp.c,158,6486,88,21
..\..\third_party\boringssl\src\crypto\asn1\a_int.c,360,7504,420,22
..\..\third_party\boringssl\src\crypto\asn1\a_mbstr.c,148,7412,305,25
..\..\third_party\boringssl\src\crypto\asn1\a_object.c,355,12715,286,26
..\..\third_party\boringssl\src\crypto\asn1\a_octet.c,129,6486,77,21
..\..\third_party\boringssl\src\crypto\asn1\a_print.c,119,6486,93,21
..\..\third_party\boringssl\src\crypto\asn1\a_strnid.c,150,11697,313,25
..\..\third_party\boringssl\src\crypto\asn1\a_time.c,168,7482,212,23
..\..\third_party\boringssl\src\crypto\asn1\a_type.c,126,12589,151,26
..\..\third_party\boringssl\src\crypto\asn1\a_utctm.c,165,6590,303,22
..\..\third_party\boringssl\src\crypto\asn1\a_utf8.c,150,6590,236,22
..\..\third_party\boringssl\src\crypto\asn1\asn1_lib.c,350,7522,446,23
..\..\third_party\boringssl\src\crypto\asn1\asn1_par.c,108,6174,80,18
..\..\third_party\boringssl\src\crypto\asn1\asn_pack.c,136,6486,105,21
..\..\third_party\boringssl\src\crypto\asn1\f_enum.c,115,6174,93,18
..\..\third_party\boringssl\src\crypto\asn1\f_int.c,117,6174,97,18
..\..\third_party\boringssl\src\crypto\asn1\f_string.c,110,6174,91,18
..\..\third_party\boringssl\src\crypto\asn1\tasn_dec.c,336,8396,1244,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_enc.c,350,8396,664,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_fre.c,146,7482,244,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_new.c,349,13711,387,28
..\..\third_party\boringssl\src\crypto\asn1\tasn_typ.c,163,7066,131,19
..\..\third_party\boringssl\src\crypto\asn1\tasn_utl.c,397,13607,280,27
..\..\third_party\boringssl\src\crypto\asn1\time_support.c,118,6278,206,19
..\..\third_party\boringssl\src\crypto\base64\base64.c,307,3917,444,15
..\..\third_party\boringssl\src\crypto\bio\bio.c,370,7504,700,22
..\..\third_party\boringssl\src\crypto\bio\bio_mem.c,346,5451,330,19
..\..\third_party\boringssl\src\crypto\bio\connect.c,390,5562,545,20
..\..\third_party\boringssl\src\crypto\bio\fd.c,402,5562,279,20
..\..\third_party\boringssl\src\crypto\bio\file.c,349,5451,317,19
..\..\third_party\boringssl\src\crypto\bio\hexdump.c,350,5276,192,18
..\..\third_party\boringssl\src\crypto\bio\pair.c,350,5451,488,19
..\..\third_party\boringssl\src\crypto\bio\printf.c,125,4433,115,18
..\..\third_party\boringssl\src\crypto\bio\socket.c,315,4267,206,17
..\..\third_party\boringssl\src\crypto\bio\socket_helper.c,319,5387,118,19
..\..\third_party\boringssl\src\crypto\bn_extra\bn_asn1.c,110,4066,64,13
..\..\third_party\boringssl\src\crypto\bn_extra\convert.c,345,8010,470,24
..\..\third_party\boringssl\src\crypto\buf\buf.c,331,4500,168,17
..\..\third_party\boringssl\src\crypto\bytestring\asn1_compat.c,317,4724,52,18
..\..\third_party\boringssl\src\crypto\bytestring\ber.c,317,4549,265,17
..\..\third_party\boringssl\src\crypto\bytestring\cbb.c,335,4628,679,17
..\..\third_party\boringssl\src\crypto\bytestring\cbs.c,326,4821,630,19
..\..\third_party\boringssl\src\crypto\bytestring\unicode.c,91,2368,155,10
..\..\third_party\boringssl\src\crypto\chacha\chacha.c,303,4025,184,17
..\..\third_party\boringssl\src\crypto\cipher_extra\cipher_extra.c,346,9378,143,19
..\..\third_party\boringssl\src\crypto\cipher_extra\derive_key.c,96,2826,152,12
..\..\third_party\boringssl\src\crypto\cipher_extra\e_aesccm.c,370,6446,447,22
..\..\third_party\boringssl\src\crypto\cipher_extra\e_aesctrhmac.c,317,6887,283,24
..\..\third_party\boringssl\src\crypto\cipher_extra\e_aesgcmsiv.c,343,6887,883,24
..\..\third_party\boringssl\src\crypto\cipher_extra\e_chacha20poly1305.c,361,6583,418,25
..\..\third_party\boringssl\src\crypto\cipher_extra\e_null.c,314,8614,85,16
..\..\third_party\boringssl\src\crypto\cipher_extra\e_rc2.c,316,8614,462,16
..\..\third_party\boringssl\src\crypto\cipher_extra\e_rc4.c,93,6529,87,10
..\..\third_party\boringssl\src\crypto\cipher_extra\e_tls.c,341,7467,688,27
..\..\third_party\boringssl\src\crypto\cipher_extra\tls_cbc.c,301,10147,491,23
..\..\third_party\boringssl\src\crypto\cmac\cmac.c,322,4826,291,18
..\..\third_party\boringssl\src\crypto\conf\conf.c,337,6071,810,23
